country_iso3,inflation_rate
AFG,7.385771784
ALB,1.937620802
DZA,3.25423911
AGO,8.777814293
ATG,1.059497824
ARM,5.789667785
ABW,-2.372065243
AUS,2.449888641
AUT,2.000156169
AZE,2.415717453
BHS,1.034670351
BHR,3.300011569
BGD,7.530406409
BRB,1.81410436
BLR,18.31226104
BEL,1.11309594
BEN,0.4288888889
BTN,7.006666667
BOL,5.736400237
BIH,-0.09304568383
BWA,5.884607071
BRA,6.204310666
BRN,0.3892050531
BGR,0.8900935409
BFA,0.5337385071
BDI,7.937958075
CPV,1.506542857
KHM,2.94260016
CMR,2.05908684
CAN,0.9382918978
CYM,2.160611468
CAF,6.98879342
TCD,0.2226715646
CHL,1.78955554
CHN,2.621050017
COL,2.018098479
COM,-4.294873315
COD,0.8082231015
COG,4.631616197
CRI,5.231336142
CIV,2.581170373
HRV,2.216582064
CUW,1.332320862
CYP,-0.3993576765
CZE,1.438297872
DNK,0.7890717801
DJI,2.706032429
DMA,-0.04641164688
DOM,4.830950967
ECU,2.721775777
EGY,9.469719811
SLV,0.7576691845
GNQ,2.948876946
EST,2.78056659
ETH,7.464021929
FJI,2.913541936
FIN,1.478286157
FRA,0.8637154979
GAB,0.5054410589
GMB,5.699129896
GEO,-0.5120584109
DEU,1.50472098
GHA,11.66619231
GRC,-0.922168807
GRD,-0.04399978648
GTM,4.343371313
GIN,11.88789561
GNB,1.207125557
GUY,1.901251819
HTI,4.765024048
HND,5.161898986
HKG,4.323570432
HUN,1.73319985
ISL,3.872279237
IND,11.06367478
IDN,6.412513302
IRN,36.60303552
IRQ,1.879498007
IRL,0.5087148695
ISR,1.576211979
ITA,1.219993423
JAM,9.341500766
JPN,0.3464403257
JOR,4.824623143
KAZ,5.846409173
KEN,5.71749357
KIR,-1.488059085
KOR,1.301377058
XKX,1.767324284
KWT,2.682296841
KGZ,6.613752024
LAO,6.371427178
LVA,-0.02945477826
LBN,4.821019563
LSO,4.865118995
LBR,7.577306817
LBY,2.605818027
LTU,1.047479371
LUX,1.734039635
MAC,5.506786663
MKD,2.785000567
MDG,5.826429445
MWI,27.28333333
MYS,2.105012312
MDV,3.805630009
MLI,-0.6067363564
MLT,1.180284364
MRT,4.129101738
MUS,3.543295739
MEX,3.806390697
FSM,1.752327374
MDA,4.597878974
MNG,10.49065676
MNE,2.205892681
MAR,1.880654667
MOZ,4.261352509
MMR,5.643038834
NAM,5.600925023
NPL,9.040163119
NLD,2.506898527
NCL,1.27761319
NZL,1.134422664
NIC,7.135467853
NER,2.29723115
NGA,8.475827285
NOR,2.120486204
OMN,1.045528388
PAK,7.692156119
PLW,3.354810042
PAN,4.027159916
PNG,4.96031746
PRY,2.683857387
PER,2.806716509
PHL,2.582687661
POL,0.9919826063
PRT,0.2744166667
QAT,3.221977568
ROU,3.984712355
RUS,6.753710262
RWA,5.92426868
WSM,0.6100857209
SMR,1.604392981
STP,8.105832709
SAU,3.532524707
SEN,0.7102454867
SRB,7.694263629
SYC,4.338938483
SLE,5.51827137
SGP,2.358604154
SXM,2.528647885
SVK,1.40047369
SVN,1.769200859
SLB,5.391363886
ZAF,5.776404135
SSD,-0.05809097842
ESP,1.408546292
LKA,6.908450348
KNA,1.10698554
LCA,1.472018389
VCT,0.8051278043
SDN,36.52234491
SUR,1.923436041
SWZ,5.621306235
SWE,-0.04429297015
CHE,-0.2173231551
TJK,5.009646453
TZA,7.870723646
THA,2.184886185
TLS,10.98723442
TGO,1.825394759
TON,0.7756293224
TTO,5.199817405
TUN,5.316235313
TUR,7.493090305
UGA,4.902714419
UKR,-0.238948626
ARE,1.101118364
GBR,2.291666667
USA,1.464832656
URY,8.57513504
VUT,1.458933718
VEN,40.63942752
VNM,6.592674759
PSE,1.724399336
YEM,10.96844215
ZMB,6.977676055
ZWE,1.634950415
ARG,10.62
TKM,6.8
UZB,11.7