country_iso3,industry_of_gdp
AFG,22.12404249
ALB,21.76366248
DZA,35.72609326
AGO,41.93309265
ATG,16.45797948
ARG,23.15305614
ARM,25.70869944
AUS,23.64420556
AUT,25.17491325
AZE,44.89132034
BHS,11.51159613
BHR,40.15386671
BGD,26.83139483
BLR,32.69242811
BEL,19.66988832
BLZ,14.11712863
BEN,16.38509544
BMU,5.124380479
BTN,42.48708598
BOL,25.20241628
BIH,22.626408
BWA,29.9804633
BRA,19.36004398
BRN,61.36235797
BGR,23.67656566
BFA,24.35081157
BDI,11.76494577
CPV,18.12140832
KHM,27.67957211
CMR,25.18184745
CAN,24.41568255
CYM,7.006038297
CAF,22.12525135
TCD,13.65213457
CHL,29.77604704
CHN,40.84133997
COL,28.58944789
COM,10.40840816
COD,41.7048639
COG,47.801808
CRI,19.96787847
CIV,19.53306025
HRV,21.37604776
CUB,22.35318421
CUW,18.468313
CYP,10.20230476
CZE,33.7818228
DNK,19.98745459
DJI,11.36756739
DMA,12.53364749
DOM,28.49636818
ECU,31.87212767
EGY,36.63020582
SLV,25.28897221
GNQ,59.10058727
EST,23.69006384
ETH,16.29779364
FRO,16.57468347
FJI,15.17127027
FIN,23.3058164
FRA,17.67969171
GAB,48.1836273
GMB,17.14345306
GEO,19.15249742
DEU,27.10978858
GHA,32.13687984
GRC,14.51791441
GRL,17.04671163
GRD,12.32439773
GTM,22.73751094
GIN,26.32463978
GNB,12.25397134
GUY,24.71867183
HTI,25.97545776
HND,25.64997094
HKG,7.058016579
HUN,26.40388802
ISL,20.23634735
IND,27.34739148
IDN,40.0478624
IRN,32.96959372
IRQ,45.34028882
IRL,38.37551997
IMN,8.706772725
ISR,20.16533233
ITA,20.85638428
JAM,19.26603791
JPN,29.01962246
JOR,25.23280589
KAZ,30.85478739
KEN,17.30079584
KIR,15.22203929
KOR,34.14993567
XKX,23.78599966
KWT,55.93633334
KGZ,25.07806232
LAO,27.69334425
LVA,19.11231756
LBN,15.72948019
LSO,33.73760289
LBR,12.53687441
LIE,37.26026489
LTU,26.71806
LUX,11.03811546
MAC,7.693868362
MKD,23.92218322
MDG,12.59330492
MWI,14.80716336
MYS,38.44966979
MDV,10.68035774
MLI,17.59796791
MLT,12.29359572
MHL,12.03883485
MRT,22.7465106
MUS,19.24209489
MEX,29.98530327
FSM,6.113275653
MDA,22.68975275
MCO,17.60046779
MNG,31.04054776
MNE,14.35346224
MAR,26.0940331
MOZ,18.0999504
MMR,33.91247241
NAM,27.5636536
NRU,6.332981783
NPL,13.16165463
NLD,18.18602103
NZL,21.1416151
NIC,25.73488598
NER,22.54547366
NGA,20.1607829
NOR,31.01037938
OMN,53.49573982
PAK,19.09099426
PLW,6.966255517
PAN,27.55926037
PNG,34.805415
PRY,34.24949917
PER,30.33787987
PHL,30.48195098
POL,30.12683276
PRT,19.46438213
PRI,50.93827841
QAT,57.4407932
ROU,30.09779474
RUS,29.79405999
RWA,17.43100117
WSM,17.51408917
STP,15.31847367
SAU,45.27245138
SEN,23.58666432
SRB,25.7972639
SYC,11.8221643
SLE,4.555925675
SGP,24.28842438
SXM,7.646009808
SVK,30.51119375
SVN,28.02676657
ZAF,26.02837513
SSD,33.0945354
ESP,20.08695329
LKA,27.16952619
KNA,23.57694221
LCA,10.94032083
VCT,15.40905481
SDN,16.77908108
SUR,27.25663717
SWZ,35.75730076
SWE,22.15807176
CHE,24.4757091
TJK,30.2202135
TZA,24.48735011
THA,36.17917733
TLS,18.31443942
TGO,15.59274967
TON,15.49235067
TTO,39.13317712
TUN,24.98307931
TUR,27.83434929
TKM,54.29333035
TCA,9.665205346
TUV,7.276344894
UGA,26.3940037
UKR,21.72795774
ARE,43.89381417
GBR,18.41990247
USA,18.54450775
URY,25.44175806
UZB,23.71705603
VUT,11.49553712
VNM,33.25008073
PSE,16.42523833
YEM,36.36740441
ZMB,33.65724912
ZWE,22.3583917
LBY,80