country_iso3,agriculture_forestry_fishing_of_gdp
AFG,26.42019908
ALB,19.02214284
DZA,11.75607379
AGO,10.01699591
ATG,1.793598652
ARG,5.231622377
ARM,14.99426012
AUS,2.704424891
AUT,1.210593152
AZE,5.607369011
BHS,0.7677712218
BHR,0.2905952404
BGD,13.413466
BLR,7.565802538
BEL,0.6650936602
BLZ,11.19990606
BEN,28.48901653
BMU,0.2747008113
BTN,15.03361881
BOL,11.58933594
BIH,5.601857227
BWA,1.989850706
BRA,4.600591696
BRN,1.086449483
BGR,4.034631896
BFA,20.58558722
BDI,28.54664701
CPV,6.738689905
KHM,23.36144048
CMR,14.37221482
CAN,1.889994632
CYM,0.4183157124
CAF,32.79017123
TCD,48.61308641
CHL,3.980306434
CHN,7.463565017
COL,6.389663553
COM,31.89888687
COD,19.7026975
COG,7.362309476
CRI,4.699776332
CIV,18.73748665
HRV,2.931888891
CUB,3.800683524
CUW,0.3795629476
CYP,1.840274944
CZE,2.057606888
DNK,1.30480036
DJI,1.372494547
DMA,13.4493716
DOM,5.342666643
ECU,9.329258912
EGY,11.4852853
SLV,5.392966949
GNQ,2.315463397
EST,2.374276902
ETH,33.77928067
FRO,19.01030648
FJI,10.53182736
FIN,2.315942042
FRA,1.542414774
GAB,5.265764844
GMB,21.00189469
GEO,6.240186843
DEU,0.826170449
GHA,20.08068434
GRC,3.850979302
GRL,19.23157291
GRD,5.371543258
GTM,9.696286632
GIN,20.52847253
GNB,49.15780779
GUY,22.75803229
HTI,18.8142008
HND,12.66976811
HKG,0.06527827497
HUN,3.759895579
ISL,3.782246457
IND,16.5583314
IDN,13.15663085
IRN,9.499745415
IRQ,2.923230267
IRL,1.159166534
IMN,0.4005063492
ISR,1.166728646
ITA,1.972684673
JAM,6.63178586
JPN,1.212040944
JOR,4.762526361
KAZ,4.51698454
KEN,34.83122904
KIR,30.51097161
KOR,1.850756295
XKX,9.139525094
KWT,0.525092038
KGZ,12.5145789
LAO,16.19975986
LVA,3.552820952
LBN,2.933449914
LSO,4.964821378
LBR,37.09428374
LIE,0.1348977287
LTU,3.50751155
LUX,0.2445849332
MKD,7.873245042
MDG,24.55013844
MWI,23.33315561
MYS,8.598277535
MDV,5.351363387
MLI,37.43243963
MLT,0.6815075872
MHL,15.30636606
MRT,20.85649234
MUS,3.095793754
MEX,3.381073882
FSM,27.62993541
MDA,11.47225788
MNG,10.27895232
MNE,6.853890741
MAR,12.36250582
MOZ,25.04368115
MMR,23.0027856
NAM,7.676156221
NPL,23.69954846
NLD,1.855594964
NZL,5.903578884
NIC,14.99665684
NER,35.7974708
NGA,20.84657143
NOR,1.97646282
OMN,2.27322728
PAK,22.92586789
PLW,3.204677414
PAN,2.38478394
PNG,17.64956891
PRY,10.5267434
PER,6.77975956
PHL,10.18295413
POL,2.872298457
PRT,2.095868576
PRI,0.8190786453
QAT,0.2147415368
ROU,4.313298225
RUS,3.55363209
RWA,26.34544257
WSM,10.53309401
SMR,0.0204788601
STP,10.87890247
SAU,2.528472506
SEN,14.98203382
SRB,6.014153757
SYC,1.880676005
SLE,60.28354504
SGP,0.03077311817
SXM,0.07969995312
SVK,2.389406575
SVN,1.819732271
ZAF,2.361236373
ESP,2.788529152
LKA,7.833028974
KNA,1.109315501
LCA,1.761089826
VCT,6.933535308
SDN,24.12706748
SUR,10.91733908
SWZ,8.427754751
SWE,1.443538229
CHE,0.6230191152
TJK,20.28329632
TZA,28.74208607
THA,8.406412587
TLS,16.96451801
TGO,20.63860852
TON,16.8054005
TTO,1.239704274
TUN,9.685051553
TUR,6.038629796
TKM,11.11780748
TCA,0.4661740181
UGA,23.45883538
UKR,10.18636126
ARE,0.7705473397
GBR,0.573629479
USA,0.9498060724
URY,5.345332148
UZB,30.07365153
VNM,15.34488286
PSE,7.040550595
YEM,6.024135519
ZMB,4.024271194
ZWE,7.713515567
LBY,1